SQL> 
SQL> set lines 500
SQL> 
SQL> select distinct target_type || '|' || metric_name || '|' || metric_label || '|' || column_label
  2  from  mgmt$metric_current
  3  order by 1;

TARGET_TYPE||'|'||METRIC_NAME||'|'||METRIC_LABEL||'|'||COLUMN_LABEL
------------------------------------------------------------------------------------------------
casm_diskgroup_component|DiskGroup_Target_Component|Disk Group Target Component|Disk Count   
oracle_apache|ohs_virtualHost|OHS Virtual Host Metrics|Active Requests for a Virtual Host    
oracle_apache|ohs_virtualHost|OHS Virtual Host Metrics|Request Processing Time for a Virtual Host (seconds)
oracle_apache|ohs_virtualHost|OHS Virtual Host Metrics|Request Throughput for a Virtual Host (requests per second) 
oracle_apache|ohs_virtualHost|OHS Virtual Host Metrics|Response Data Processed for a Virtual Host (KB per response)
oracle_apache|ohs_virtualHost|OHS Virtual Host Metrics|Response Data Throughput for a Virtual Host (KB per second) 
oracle_apache|ohs_virtualHost|OHS Virtual Host Metrics|Virtual Host Type   
oracle_beacon|LogCleanUp|Log Clean Up|[Log Clean Up]Status   
oracle_beacon|Response|Response|Status
oracle_database|DATABASE_SIZE|Database Size|Allocated Space(GB)  
oracle_database|DATABASE_SIZE|Database Size|Used Space(GB)   
oracle_database|DGPrimaryDBName|DGPrimaryDBName|db_name  
oracle_database|Database_Resource_Usage|Database Limits|Current Logons Count 
oracle_database|Database_Resource_Usage|Database Limits|Current Open Cursors Count 
oracle_database|Database_Resource_Usage|Database Limits|Lock Limit Usage (%) 
oracle_database|Database_Resource_Usage|Database Limits|Process Limit Usage (%) 
oracle_database|Database_Resource_Usage|Database Limits|Session Limit Usage (%) 
oracle_database|Database_Resource_Usage|Database Limits|User Limit Usage (%) 
oracle_database|DeferredTrans|Deferred Transactions|Deferred Transaction Count
oracle_database|DeferredTrans|Deferred Transactions|Deferred Transaction Error Count
oracle_database|ME$Last_full_backup_db_instance|Last full backup db instance|Days since backup   
oracle_database|ME$Last_full_backup_db_instance|Last full backup db instance|Last backup
oracle_database|ME$datafile_offline|datafile_offline|status  
oracle_database|ME$last_full_backup|Last Full Backup|Days Since Last Backup
oracle_database|ME$scml_test|scml validation|Status  
oracle_database|OCMInstrumentation|OCM Instrumentation|Instrumentation Present
oracle_database|OCMInstrumentation|OCM Instrumentation|Need to Instrument with OCM 
oracle_database|OCMInstrumentation|OCM Instrumentation|OCM Configured  
oracle_database|Recovery_Area|Recovery Area|Recovery Area Free Space (%)   
oracle_database|Response|Response|Active State  
oracle_database|Response|Response|Archiver 
oracle_database|Response|Response|Database Status    
oracle_database|Response|Response|State 
oracle_database|Response|Response|Status
oracle_database|Temporary_File_Status|Temporary File Status|File Name  
oracle_database|Temporary_File_Status|Temporary File Status|Status 
oracle_database|UserAudit|User Audit|Audited Host    
oracle_database|UserAudit|User Audit|Audited User    
oracle_database|UserAudit|User Audit|Audited User Session Count  
oracle_database|UserLocks|User Locks|Maximum Blocked DB Time (seconds) 
oracle_database|UserLocks|User Locks|Maximum Blocked Session Count 
oracle_database|adrAlertLogDataFailure|Data Failure|Alert Log Name 
oracle_database|adrAlertLogDataFailure|Data Failure|Data Failure Detected  
oracle_database|adrAlertLogIncidentError|Incident|Access Violation 
oracle_database|adrAlertLogIncidentError|Incident|Alert Log Error Trace File 
oracle_database|adrAlertLogIncidentError|Incident|Alert Log Name 
oracle_database|adrAlertLogIncidentError|Incident|Cluster Error  
oracle_database|adrAlertLogIncidentError|Incident|Deadlock   
oracle_database|adrAlertLogIncidentError|Incident|ECID   
oracle_database|adrAlertLogIncidentError|Incident|File Access Error
oracle_database|adrAlertLogIncidentError|Incident|Generic Incident 
oracle_database|adrAlertLogIncidentError|Incident|Generic Internal Error   
oracle_database|adrAlertLogIncidentError|Incident|Impact 
oracle_database|adrAlertLogIncidentError|Incident|Incident ID
oracle_database|adrAlertLogIncidentError|Incident|Inconsistent DB State
oracle_database|adrAlertLogIncidentError|Incident|Internal SQL Error   
oracle_database|adrAlertLogIncidentError|Incident|Oracle Data Block Corruption
oracle_database|adrAlertLogIncidentError|Incident|Out of Memory  
oracle_database|adrAlertLogIncidentError|Incident|Redo Log Corruption  
oracle_database|adrAlertLogIncidentError|Incident|Session Terminated   
oracle_database|adrAlertLogOperationalError|Operational Error|Alert Log Error Trace File
oracle_database|adrAlertLogOperationalError|Operational Error|Alert Log Name 
oracle_database|adrAlertLogOperationalError|Operational Error|Archiver Hung
oracle_database|adrAlertLogOperationalError|Operational Error|Data Block Corruption
oracle_database|adrAlertLogOperationalError|Operational Error|Error Codes  
oracle_database|adrAlertLogOperationalError|Operational Error|Generic Operational Error 
oracle_database|adrAlertLogOperationalError|Operational Error|Media Failure
oracle_database|adrAlertLogOperationalError|Operational Error|User-Defined Error
oracle_database|adrAlertLogOperationalError|Operational Error|User-Defined Text 
oracle_database|adrAlertLogOperationalError|Operational Error|User-Defined Warning 
oracle_database|alertLogStatus|Alert Log Error Status|Archiver Hung Alert Log Error Status   
oracle_database|alertLogStatus|Alert Log Error Status|Data Block Corruption Alert Log Error Status   
oracle_database|alertLogStatus|Alert Log Error Status|Generic Alert Log Error Status
oracle_database|alertLogStatus|Alert Log Error Status|Media Failure Alert Log Error Status   
oracle_database|alertLogStatus|Alert Log Error Status|Session Terminated Alert Log Error Status  
oracle_database|alertLog|Alert Log|Alert Log Error Trace File
oracle_database|alertLog|Alert Log|Alert Log Name    
oracle_database|alertLog|Alert Log|Archiver Hung Alert Log Error 
oracle_database|alertLog|Alert Log|Data Block Corruption Alert Log Error   
oracle_database|alertLog|Alert Log|Generic Alert Log Error   
oracle_database|alertLog|Alert Log|Media Failure Alert Log Error 
oracle_database|alertLog|Alert Log|Session Terminated Alert Log Error  
oracle_database|aq_buff_queue_space_usage|Space usage by buffered queues|Allocated Streams pool size (MB)
oracle_database|aq_buff_queue_space_usage|Space usage by buffered queues|Buffered queue space usage wrt streams pool size (%)
oracle_database|aq_buff_queue_space_usage|Space usage by buffered queues|Instance Name  
oracle_database|aq_buff_queue_space_usage|Space usage by buffered queues|Queue size (MB)
oracle_database|aq_msgs_per_buffered_queue_per_subscriber|Messages per buffered queue per subscriber|Average age of messages/buffered queue/subscriber (seconds)
oracle_database|aq_msgs_per_buffered_queue_per_subscriber|Messages per buffered queue per subscriber|First message age in buffered queue/subscriber (Seconds) 
oracle_database|aq_msgs_per_buffered_queue_per_subscriber|Messages per buffered queue per subscriber|Messages processed/buffered queue/subscriber (%)
oracle_database|aq_msgs_per_buffered_queue_per_subscriber|Messages per buffered queue per subscriber|Messages processed/buffered queue/subscriber per minute (%)
oracle_database|aq_msgs_per_buffered_queue_per_subscriber|Messages per buffered queue per subscriber|Total messages processed/buffered queue/subscriber per minute 
oracle_database|aq_msgs_per_buffered_queue_per_subscriber|Messages per buffered queue per subscriber|Total messages received/buffered queue/subscriber per minute  
oracle_database|aq_msgs_per_buffered_queue_per_subscriber|Messages per buffered queue per subscriber|Total number of messages processed  
oracle_database|aq_msgs_per_buffered_queue_per_subscriber|Messages per buffered queue per subscriber|Total number of messages received   
oracle_database|aq_msgs_per_buffered_queue|Messages per buffered queue|Average age of messages per buffered queue (seconds)  
oracle_database|aq_msgs_per_buffered_queue|Messages per buffered queue|First Message Age in Buffered Queue Per Queue (Seconds)   
oracle_database|aq_msgs_per_buffered_queue|Messages per buffered queue|Messages processed per buffered queue (%)   
oracle_database|aq_msgs_per_buffered_queue|Messages per buffered queue|Messages processed per buffered queue (%) per minute  
oracle_database|aq_msgs_per_buffered_queue|Messages per buffered queue|Spilled Messages 
oracle_database|aq_msgs_per_buffered_queue|Messages per buffered queue|Total Messages Processed per Buffered Queue per Minute
oracle_database|aq_msgs_per_buffered_queue|Messages per buffered queue|Total Messages Received per Buffered Queue per Minute 
oracle_database|aq_msgs_per_buffered_queue|Messages per buffered queue|Total number of messages processed
oracle_database|aq_msgs_per_buffered_queue|Messages per buffered queue|Total number of messages received 
oracle_database|aq_msgs_per_persistent_queue_per_subscriber|Messages per persistent queue per subscriber|Average age of messages/persistent queue/subscriber (seconds)  
oracle_database|aq_msgs_per_persistent_queue_per_subscriber|Messages per persistent queue per subscriber|First Message Age in Persistent Queue/Subscriber (seconds)
oracle_database|aq_msgs_per_persistent_queue_per_subscriber|Messages per persistent queue per subscriber|Messages processed/persistent queue/subscriber (%)   
oracle_database|aq_msgs_per_persistent_queue_per_subscriber|Messages per persistent queue per subscriber|Messages processed/persistent queue/subscriber per minute (%)  
oracle_database|aq_msgs_per_persistent_queue_per_subscriber|Messages per persistent queue per subscriber|Total messages processed/persistent queue/subscriber per minute
oracle_database|aq_msgs_per_persistent_queue_per_subscriber|Messages per persistent queue per subscriber|Total messages received/persistent queue/subscriber per minute 
oracle_database|aq_msgs_per_persistent_queue_per_subscriber|Messages per persistent queue per subscriber|Total number of messages processed
oracle_database|aq_msgs_per_persistent_queue_per_subscriber|Messages per persistent queue per subscriber|Total number of messages received 
oracle_database|aq_msgs_per_persistent_queue|Messages per persistent queue|Age of the first message in persistent queue per queue (seconds)
oracle_database|aq_msgs_per_persistent_queue|Messages per persistent queue|Average age of messages per persistent queue (seconds)
oracle_database|aq_msgs_per_persistent_queue|Messages per persistent queue|Messages processed per persistent queue (%)  
oracle_database|aq_msgs_per_persistent_queue|Messages per persistent queue|Messages processed per persistent queue (%) per minute
oracle_database|aq_msgs_per_persistent_queue|Messages per persistent queue|Total Messages Processed per Persistent Queue per Minute  
oracle_database|aq_msgs_per_persistent_queue|Messages per persistent queue|Total Messages Received per Persistent Queue per Minute   
oracle_database|aq_msgs_per_persistent_queue|Messages per persistent queue|Total number of messages processed  
oracle_database|aq_msgs_per_persistent_queue|Messages per persistent queue|Total number of messages received   
oracle_database|archFull|Archive Area|Archive Area Used (%)  
oracle_database|archFull|Archive Area|Archive Area Used (KB) 
oracle_database|archFull|Archive Area|Free Archive Area (KB) 
oracle_database|archFull|Archive Area|Total Archive Area (KB)
oracle_database|audit_failed_logins2|Failed Logins|Failed Login Count  
oracle_database|audit_failed_logins_historical|Failed Logins (Historical)|Failed Login Count 
oracle_database|dataguard_pperf|Data Guard Performance|Redo Generation Rate (KB/second) 
oracle_database|dataguard_sperf_112|Data Guard Performance|Apply Lag (seconds)
oracle_database|dataguard_sperf_112|Data Guard Performance|Apply Lag Data Refresh Time  
oracle_database|dataguard_sperf_112|Data Guard Performance|Estimated Failover Time (seconds) 
oracle_database|dataguard_sperf_112|Data Guard Performance|Redo Apply Rate (KB/second)  
oracle_database|dataguard_sperf_112|Data Guard Performance|Transport Lag (seconds) 
oracle_database|dataguard_sperf_112|Data Guard Performance|Transport Lag Data Refresh Time   
oracle_database|dataguard|Data Guard Status|Data Guard Status
oracle_database|db_alert_log_status| DB Alert Log Error Status  |Archiver Hung Alert Log Error Status
oracle_database|db_alert_log_status| DB Alert Log Error Status  |Data Block Corruption Alert Log Error Status  
oracle_database|db_alert_log_status| DB Alert Log Error Status  |Generic Alert Log Error Status  
oracle_database|db_alert_log_status| DB Alert Log Error Status  |Media Failure Alert Log Error Status
oracle_database|db_alert_log_status| DB Alert Log Error Status  |Session Terminated Alert Log Error Status 
oracle_database|db_alert_log|DB Alert Log|Alert Log Error Trace File   
oracle_database|db_alert_log|DB Alert Log|Alert Log Name 
oracle_database|db_alert_log|DB Alert Log|Archiver Hung Alert Log Error
oracle_database|db_alert_log|DB Alert Log|Data Block Corruption Alert Log Error 
oracle_database|db_alert_log|DB Alert Log|Generic Alert Log Error
oracle_database|db_alert_log|DB Alert Log|Media Failure Alert Log Error
oracle_database|db_alert_log|DB Alert Log|Session Terminated Alert Log Error 
oracle_database|db_alert_log|DB Alert Log|Time/Line Number   
oracle_database|db_inst_cpu_usage|CPU Usage|Maximum Total CPU Usage Per Second (CentiSecond Per Second)  
oracle_database|db_inst_io_rate|Database Instance I/O Rate|Maximum Total Physical Read and Write (Bytes Per Second)
oracle_database|db_inst_io_rate|Database Instance I/O Rate|Maximum Total Physical Read and Write (Requests Per Second)  
oracle_database|db_inst_opt_sga|Optimal SGA|Optimal SGA Size (MB)
oracle_database|db_inst_pga_alloc|PGA Allocated|Total PGA Allocated (MB)   
oracle_database|dbjob_status|Database Job Status|Broken Job Count
oracle_database|dbjob_status|Database Job Status|Failed Job Count
oracle_database|dumpFull|Dump Area|Dump Area Directory   
oracle_database|dumpFull|Dump Area|Dump Area Used (%)
oracle_database|dumpFull|Dump Area|Dump Area Used (KB)   
oracle_database|dumpFull|Dump Area|Free Dump Area (KB)   
oracle_database|dumpFull|Dump Area|Total Dump Area (KB)  
oracle_database|ha_flashrecovery|Flash Recovery|Flash Recovery Area
oracle_database|ha_flashrecovery|Flash Recovery|Flash Recovery Area Size   
oracle_database|ha_flashrecovery|Flash Recovery|Flashback On 
oracle_database|ha_flashrecovery|Flash Recovery|Log Mode 
oracle_database|ha_flashrecovery|Flash Recovery|Non-reclaimable Flash Recovery Area (%) 
oracle_database|ha_flashrecovery|Flash Recovery|Oldest Flashback Time  
oracle_database|ha_flashrecovery|Flash Recovery|Reclaimable Flash Recovery Area (%)
oracle_database|ha_flashrecovery|Flash Recovery|Usable Flash Recovery Area (%)
oracle_database|ha_rac_intrconn_traffic|Interconnect Traffic|Transfer Rate (MB/s)  
oracle_database|ha_rac_intrconn_type|Interconnect|Interface Type 
oracle_database|ha_recovery|Recovery|Corrupt Data Block Count
oracle_database|ha_recovery|Recovery|Datafiles Need Media Recovery 
oracle_database|ha_recovery|Recovery|Missing Media File Count
oracle_database|incident_meter|Incident Meter|CRITICAL_INCIDENTS 
oracle_database|incident_meter|Incident Meter|SEVERITY_INDEX 
oracle_database|incident_meter|Incident Meter|WARNING_INCIDENTS  
oracle_database|instance_efficiency|Efficiency|Buffer Cache Hit (%)
oracle_database|instance_efficiency|Efficiency|CPU Usage (per second)  
oracle_database|instance_efficiency|Efficiency|CPU Usage (per transaction) 
oracle_database|instance_efficiency|Efficiency|Cursor Cache Hit (%)
oracle_database|instance_efficiency|Efficiency|Data Dictionary Hit (%) 
oracle_database|instance_efficiency|Efficiency|Database CPU Time (%)   
oracle_database|instance_efficiency|Efficiency|Library Cache Hit (%)   
oracle_database|instance_efficiency|Efficiency|Library Cache Miss (%)  
oracle_database|instance_efficiency|Efficiency|PGA Cache Hit (%) 
oracle_database|instance_efficiency|Efficiency|Parallel Execution Downgraded (per second)    
oracle_database|instance_efficiency|Efficiency|Parallel Execution Downgraded 25% or more (per second)
oracle_database|instance_efficiency|Efficiency|Parallel Execution Downgraded 50% or more (per second)
oracle_database|instance_efficiency|Efficiency|Parallel Execution Downgraded 75% or more (per second)
oracle_database|instance_efficiency|Efficiency|Parallel Execution Downgraded to Serial (per second)  
oracle_database|instance_efficiency|Efficiency|Parallel Execution Downgraded to Serial (per transaction) 
oracle_database|instance_efficiency|Efficiency|Redo Log Allocation Hit (%) 
oracle_database|instance_efficiency|Efficiency|Response Time (per transaction)
oracle_database|instance_efficiency|Efficiency|Row Cache Miss Ratio (%)
oracle_database|instance_efficiency|Efficiency|Sorts in Memory (%) 
oracle_database|instance_throughput|Throughput|All Sessions  
oracle_database|instance_throughput|Throughput|Average Active Sessions 
oracle_database|instance_throughput|Throughput|Average Synchronous Single-Block Read Latency (ms)
oracle_database|instance_throughput|Throughput|BG Checkpoints (per second) 
oracle_database|instance_throughput|Throughput|Branch Node Splits (per second)
oracle_database|instance_throughput|Throughput|Branch Node Splits (per transaction)
oracle_database|instance_throughput|Throughput|Consistent Read Blocks Created (per second)   
oracle_database|instance_throughput|Throughput|Consistent Read Blocks Created (per transaction)  
oracle_database|instance_throughput|Throughput|Consistent Read Changes (per second)
oracle_database|instance_throughput|Throughput|Consistent Read Changes (per transaction)
oracle_database|instance_throughput|Throughput|Consistent Read Gets (per second)
oracle_database|instance_throughput|Throughput|Consistent Read Gets (per transaction)   
oracle_database|instance_throughput|Throughput|Consistent Read Undo Records Applied (per second) 
oracle_database|instance_throughput|Throughput|Consistent Read Undo Records Applied (per transaction)
oracle_database|instance_throughput|Throughput|Cumulative Logons (per second)
oracle_database|instance_throughput|Throughput|Cumulative Logons (per transaction) 
oracle_database|instance_throughput|Throughput|DBWR Checkpoints (per second) 
oracle_database|instance_throughput|Throughput|Database Block Changes (per second) 
oracle_database|instance_throughput|Throughput|Database Block Changes (per transaction) 
oracle_database|instance_throughput|Throughput|Database Block Gets (per second) 
oracle_database|instance_throughput|Throughput|Database Block Gets (per transaction)
oracle_database|instance_throughput|Throughput|Database Time (centiseconds per second)  
oracle_database|instance_throughput|Throughput|Enqueue Deadlocks (per second)
oracle_database|instance_throughput|Throughput|Enqueue Deadlocks (per transaction) 
oracle_database|instance_throughput|Throughput|Enqueue Requests (per second) 
oracle_database|instance_throughput|Throughput|Enqueue Requests (per transaction)  
oracle_database|instance_throughput|Throughput|Enqueue Timeout (per second)
oracle_database|instance_throughput|Throughput|Enqueue Timeout (per transaction)
oracle_database|instance_throughput|Throughput|Enqueue Waits (per second)  
oracle_database|instance_throughput|Throughput|Enqueue Waits (per transaction)
oracle_database|instance_throughput|Throughput|Executes (per second)   
oracle_database|instance_throughput|Throughput|Executes Performed without Parses (%)
oracle_database|instance_throughput|Throughput|Full Index Scans (per second) 
oracle_database|instance_throughput|Throughput|Full Index Scans (per transaction)  
oracle_database|instance_throughput|Throughput|Hard Parses (per second)
oracle_database|instance_throughput|Throughput|Hard Parses (per transaction) 
oracle_database|instance_throughput|Throughput|I/O Megabytes (per second)  
oracle_database|instance_throughput|Throughput|I/O Requests (per second)   
oracle_database|instance_throughput|Throughput|Leaf Node Splits (per second) 
oracle_database|instance_throughput|Throughput|Leaf Node Splits (per transaction)  
oracle_database|instance_throughput|Throughput|Network Bytes (per second)  
oracle_database|instance_throughput|Throughput|Number of Transactions (per second) 
oracle_database|instance_throughput|Throughput|Open Cursors (per second)   
oracle_database|instance_throughput|Throughput|Open Cursors (per transaction)
oracle_database|instance_throughput|Throughput|Parse Failure Count (per second) 
oracle_database|instance_throughput|Throughput|Parse Failure Count (per transaction)
oracle_database|instance_throughput|Throughput|Physical Reads (per second) 
oracle_database|instance_throughput|Throughput|Physical Reads (per transaction) 
oracle_database|instance_throughput|Throughput|Physical Reads Direct (per second)  
oracle_database|instance_throughput|Throughput|Physical Reads Direct (per transaction)  
oracle_database|instance_throughput|Throughput|Physical Reads Direct Lobs (per second)  
oracle_database|instance_throughput|Throughput|Physical Reads Direct Lobs (per transaction)  
oracle_database|instance_throughput|Throughput|Physical Writes (per second)
oracle_database|instance_throughput|Throughput|Physical Writes (per transaction)
oracle_database|instance_throughput|Throughput|Physical Writes Direct (per second) 
oracle_database|instance_throughput|Throughput|Physical Writes Direct (per transaction) 
oracle_database|instance_throughput|Throughput|Physical Writes Direct Lobs (per second) 
oracle_database|instance_throughput|Throughput|Physical Writes Direct Lobs (per transaction) 
oracle_database|instance_throughput|Throughput|Recursive Calls (per second)
oracle_database|instance_throughput|Throughput|Recursive Calls (per transaction)
oracle_database|instance_throughput|Throughput|Redo Generated (per second) 
oracle_database|instance_throughput|Throughput|Redo Generated (per transaction) 
oracle_database|instance_throughput|Throughput|Redo Writes (per second)
oracle_database|instance_throughput|Throughput|Redo Writes (per transaction) 
oracle_database|instance_throughput|Throughput|Rows Processed (per sort)   
oracle_database|instance_throughput|Throughput|Scans on Long Tables (per second)
oracle_database|instance_throughput|Throughput|Scans on Long Tables (per transaction)   
oracle_database|instance_throughput|Throughput|Session Logical Reads (per second)  
oracle_database|instance_throughput|Throughput|Session Logical Reads (per transaction)  
oracle_database|instance_throughput|Throughput|Soft Parse (%)
oracle_database|instance_throughput|Throughput|Sorts to Disk (per second)  
oracle_database|instance_throughput|Throughput|Sorts to Disk (per transaction)
oracle_database|instance_throughput|Throughput|Total Index Scans (per second)
oracle_database|instance_throughput|Throughput|Total Index Scans (per transaction) 
oracle_database|instance_throughput|Throughput|Total Parses (per second)   
oracle_database|instance_throughput|Throughput|Total Parses (per transaction)
oracle_database|instance_throughput|Throughput|Total Table Scans (per second)
oracle_database|instance_throughput|Throughput|Total Table Scans (per transaction) 
oracle_database|instance_throughput|Throughput|User Calls (%)
oracle_database|instance_throughput|Throughput|User Calls (per second) 
oracle_database|instance_throughput|Throughput|User Calls (per transaction)
oracle_database|instance_throughput|Throughput|User Commits (per second)   
oracle_database|instance_throughput|Throughput|User Commits (per transaction)
oracle_database|instance_throughput|Throughput|User Rollback Undo Records Applied (per second)   
oracle_database|instance_throughput|Throughput|User Rollback Undo Records Applied (per transaction)  
oracle_database|instance_throughput|Throughput|User Rollbacks (per second) 
oracle_database|instance_throughput|Throughput|User Rollbacks (per transaction) 
oracle_database|invalid_objects|Invalid Objects by Schema|Owner's Invalid Object Count  
oracle_database|memory_usage|Memory Usage|Total Memory Usage (MB)
oracle_database|observer_11g|Data Guard Fast-Start Failover Observer|Observer Status
oracle_database|problemSegTbsp|Tablespaces With Problem Segments|Segments Approaching Maximum Extents
oracle_database|problemSegTbsp|Tablespaces With Problem Segments|Segments Approaching Maximum Extents Count
oracle_database|problemSegTbsp|Tablespaces With Problem Segments|Segments Not Able to Extend 
oracle_database|problemSegTbsp|Tablespaces With Problem Segments|Segments Not Able to Extend Count   
oracle_database|problemTbsp10iDct|Tablespaces Full (dictionary managed)|Tablespace Free Space (MB) (dictionary managed) 
oracle_database|problemTbsp10iDct|Tablespaces Full (dictionary managed)|Tablespace Space Used (%) (dictionary managed)  
oracle_database|problemTbspTemp|Tablespaces Full (Temp)|Tablespace Free Space (MB) (Temp)    
oracle_database|problemTbspTemp|Tablespaces Full (Temp)|Tablespace Space Used (%) (Temp)
oracle_database|problemTbspUndo|Tablespaces Full (Undo)|Tablespace Free Space (MB) (Undo)    
oracle_database|problemTbspUndo|Tablespaces Full (Undo)|Tablespace Space Used (%) (Undo)
oracle_database|problemTbsp|Tablespaces Full|Tablespace Free Space (MB)
oracle_database|problemTbsp|Tablespaces Full|Tablespace Space Used (%) 
oracle_database|rac_global_cache|Global Cache Statistics|Global Cache Average CR Block Request Time (centi-seconds)
oracle_database|rac_global_cache|Global Cache Statistics|Global Cache Average Current Block Request Time (centi-seconds)
oracle_database|rac_global_cache|Global Cache Statistics|Global Cache Blocks Corrupt
oracle_database|rac_global_cache|Global Cache Statistics|Global Cache Blocks Lost  
oracle_database|scn_growth_statistics|SCN Growth Statistics|Current SCN
oracle_database|scn_growth_statistics|SCN Growth Statistics|Current SCN Compatibility   
oracle_database|scn_growth_statistics|SCN Growth Statistics|Max rate   
oracle_database|scn_growth_statistics|SCN Growth Statistics|Maximum SCN Compatibility   
oracle_database|scn_growth_statistics|SCN Growth Statistics|SCN Health 
oracle_database|scn_growth_statistics|SCN Growth Statistics|SCN Total Growth Rate (per sec)  
oracle_database|scn_instance_statistics|SCN Instance Statistics|SCN Intrinsic Growth Rate (per sec)  
oracle_database|scn_max_statistics|SCN Max Statistics|Max SCN Jump Time (GMT)
oracle_database|scn_max_statistics|SCN Max Statistics|Max SCN Jump in one second (last 24 hours) 
oracle_database|segment_advisor_count|Segment Advisor Recommendations|Number of recommendations  
oracle_database|service|Database Services|Service CPU Time (per user call) (microseconds)    
oracle_database|service|Database Services|Service Response Time (per user call) (microseconds)   
oracle_database|sessions_in_wait|System Sessions Waiting|Waiting Session Count
oracle_database|sga_pool_wastage|SGA Pool Wastage|Java Pool Free (%)   
oracle_database|sga_pool_wastage|SGA Pool Wastage|Large Pool Free (%)  
oracle_database|sga_pool_wastage|SGA Pool Wastage|Shared Pool Free (%) 
oracle_database|sizeOfOSAuditFiles|Operating System Audit Records|AUD  
oracle_database|sizeOfOSAuditFiles|Operating System Audit Records|BIN  
oracle_database|sizeOfOSAuditFiles|Operating System Audit Records|Size of Audit Files   
oracle_database|sizeOfOSAuditFiles|Operating System Audit Records|XML  
oracle_database|streams_processes_count|Streams Processes Count|Number of Apply Processes    
oracle_database|streams_processes_count|Streams Processes Count|Number of Apply Processes Having Errors  
oracle_database|streams_processes_count|Streams Processes Count|Number of Capture Processes  
oracle_database|streams_processes_count|Streams Processes Count|Number of Capture Processes Having Errors
oracle_database|streams_processes_count|Streams Processes Count|Number of Propagation Jobs   
oracle_database|streams_processes_count|Streams Processes Count|Number of Propagations Having Errors 
oracle_database|streams_processes_count|Streams Processes Count|Streams processes count 
oracle_database|streams_processes_count|Streams Processes Count|Total Number of Propagation Errors   
oracle_database|streams_processes_status|Streams Processes Status|Streams Process Errors
oracle_database|streams_processes_status|Streams Processes Status|Streams Process Status
oracle_database|system_response_time_per_call|System Response Time Per Call|Response Time (centi-seconds per call) 
oracle_database|tbspAllocation|Tablespace Allocation|Tablespace Allocated Space (MB)
oracle_database|tbspAllocation|Tablespace Allocation|Tablespace Used Space (MB) 
oracle_database|wait_bottlenecks|Wait Bottlenecks|Active Sessions Using CPU
oracle_database|wait_bottlenecks|Wait Bottlenecks|Active Sessions Waiting: I/O
oracle_database|wait_bottlenecks|Wait Bottlenecks|Active Sessions Waiting: Other
oracle_database|wait_bottlenecks|Wait Bottlenecks|Average Instance CPU (%) 
oracle_database|wait_bottlenecks|Wait Bottlenecks|Buffer busy waits (%)
oracle_database|wait_bottlenecks|Wait Bottlenecks|CPU Time Delta (sec) 
oracle_database|wait_bottlenecks|Wait Bottlenecks|DB file scattered read (%) 
oracle_database|wait_bottlenecks|Wait Bottlenecks|DB file sequential read (%)
oracle_database|wait_bottlenecks|Wait Bottlenecks|DB file single write (%) 
oracle_database|wait_bottlenecks|Wait Bottlenecks|Direct path read (%) 
oracle_database|wait_bottlenecks|Wait Bottlenecks|Direct path read (lob) (%) 
oracle_database|wait_bottlenecks|Wait Bottlenecks|Direct path write (%)
oracle_database|wait_bottlenecks|Wait Bottlenecks|Direct path write (lob) (%)
oracle_database|wait_bottlenecks|Wait Bottlenecks|Enqueue - other (%)  
oracle_database|wait_bottlenecks|Wait Bottlenecks|Enqueue: DML - contention (%) 
oracle_database|wait_bottlenecks|Wait Bottlenecks|Enqueue: HW, Segment High Water Mark - contention (%)  
oracle_database|wait_bottlenecks|Wait Bottlenecks|Enqueue: ST, Space Transaction - contention (%)
oracle_database|wait_bottlenecks|Wait Bottlenecks|Enqueue: TM, TX, Transaction - row lock contention (%) 
oracle_database|wait_bottlenecks|Wait Bottlenecks|Enqueue: TX mode 4, Transaction - allocate ITL entry (%) 
oracle_database|wait_bottlenecks|Wait Bottlenecks|Enqueue: UL: User-defined - contention (%) 
oracle_database|wait_bottlenecks|Wait Bottlenecks|Free buffer waits (%)
oracle_database|wait_bottlenecks|Wait Bottlenecks|Host CPU Utilization (%) 
oracle_database|wait_bottlenecks|Wait Bottlenecks|Latch free - other (%)   
oracle_database|wait_bottlenecks|Wait Bottlenecks|Latch: cache buffer chains (%)
oracle_database|wait_bottlenecks|Wait Bottlenecks|Latch: library cache (%) 
oracle_database|wait_bottlenecks|Wait Bottlenecks|Latch: redo copy (%) 
oracle_database|wait_bottlenecks|Wait Bottlenecks|Latch: shared pool (%)   
oracle_database|wait_bottlenecks|Wait Bottlenecks|Library cache load lock (%)
oracle_database|wait_bottlenecks|Wait Bottlenecks|Library cache lock (%)   
oracle_database|wait_bottlenecks|Wait Bottlenecks|Library cache pin (%)
oracle_database|wait_bottlenecks|Wait Bottlenecks|Local write wait (%) 
oracle_database|wait_bottlenecks|Wait Bottlenecks|Log buffer space (%) 
oracle_database|wait_bottlenecks|Wait Bottlenecks|Log file switch (archiving needed) (%)
oracle_database|wait_bottlenecks|Wait Bottlenecks|Log file switch (checkpoint complete) (%)  
oracle_database|wait_bottlenecks|Wait Bottlenecks|Log file switch completion (%)
oracle_database|wait_bottlenecks|Wait Bottlenecks|Log file sync (%)
oracle_database|wait_bottlenecks|Wait Bottlenecks|Log switch/archive (%)   
